time,time_bnds,lon,lat,precipitation,precipitation_cnt,precipitation_cnt_cond,MWprecipitation,MWprecipitation_cnt,MWprecipitation_cnt_cond,probabilityLiquidPrecipitation
16105.0,16105.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16106.0,16106.0,120.94999694824219,14.450000000000006,0.245,48,6,0.30545455,11,1,100
16107.0,16107.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16108.0,16108.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16109.0,16109.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16110.0,16110.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16111.0,16111.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16112.0,16112.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,6,0,100
16113.0,16113.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16114.0,16114.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16115.0,16115.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16116.0,16116.0,120.94999694824219,14.450000000000006,0.0,48,0,0.26181817,11,1,100
16117.0,16117.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16118.0,16118.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16119.0,16119.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16120.0,16120.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16121.0,16121.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16122.0,16122.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16123.0,16123.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16124.0,16124.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16125.0,16125.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16126.0,16126.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16127.0,16127.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16128.0,16128.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16129.0,16129.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16130.0,16130.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16131.0,16131.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16132.0,16132.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16133.0,16133.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16134.0,16134.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16135.0,16135.0,120.94999694824219,14.450000000000006,0.63,48,1,0.0,10,0,100
16136.0,16136.0,120.94999694824219,14.450000000000006,0.099999994,48,1,0.0,10,0,100
16137.0,16137.0,120.94999694824219,14.450000000000006,0.089999996,48,1,0.0,14,0,100
16138.0,16138.0,120.94999694824219,14.450000000000006,0.35,48,1,0.0,11,0,100
16139.0,16139.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16140.0,16140.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16141.0,16141.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16142.0,16142.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,7,0,100
16143.0,16143.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16144.0,16144.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16145.0,16145.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16146.0,16146.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16147.0,16147.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16148.0,16148.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16149.0,16149.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,8,0,100
16150.0,16150.0,120.94999694824219,14.450000000000006,1.2549999,48,5,0.86399996,10,1,100
16151.0,16151.0,120.94999694824219,14.450000000000006,0.14,48,1,0.26666665,9,1,100
16152.0,16152.0,120.94999694824219,14.450000000000006,3.405,48,11,1.5876923,13,2,100
16153.0,16153.0,120.94999694824219,14.450000000000006,8.79,48,8,1.5085714,14,1,100
16154.0,16154.0,120.94999694824219,14.450000000000006,3.3899996,48,5,0.42000002,12,1,100
16155.0,16155.0,120.94999694824219,14.450000000000006,0.68999994,48,4,0.9,12,2,100
16156.0,16156.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16157.0,16157.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,7,0,100
16158.0,16158.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16159.0,16159.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16160.0,16160.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16161.0,16161.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16162.0,16162.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16163.0,16163.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16164.0,16164.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16165.0,16165.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,6,0,100
16166.0,16166.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
16167.0,16167.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16168.0,16168.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16169.0,16169.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16170.0,16170.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16171.0,16171.0,120.94999694824219,14.450000000000006,0.24,48,2,0.288,10,1,100
16172.0,16172.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,7,0,100
16173.0,16173.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16174.0,16174.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16175.0,16175.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,12,0,100
16176.0,16176.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16177.0,16177.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16178.0,16178.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,14,0,100
16179.0,16179.0,120.94999694824219,14.450000000000006,0.17,48,1,0.0,11,0,100
16180.0,16180.0,120.94999694824219,14.450000000000006,1.36,48,1,0.0,9,0,100
16181.0,16181.0,120.94999694824219,14.450000000000006,4.055,48,4,4.2959995,10,1,100
16182.0,16182.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,11,0,100
16183.0,16183.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,10,0,100
16184.0,16184.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,13,0,100
16185.0,16185.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,15,0,100
16186.0,16186.0,120.94999694824219,14.450000000000006,0.0,48,0,0.0,9,0,100
