,lat,lon,flood_height,elevation,precipitation,is_flooding,geometry,index_right,Var
3109,14.73476661,120.92209,4,3.13471674919,10.0,1,POINT (120.92209 14.73476661),,
3110,14.58660905,121.0614748,4,55.2045402527,9.0,1,POINT (121.0614748 14.58660905),1.0,2.0
3111,14.60320196,121.0222536,4,12.1805477142,8.0,1,POINT (121.0222536 14.60320196),2.0,3.0
3112,14.63190797,121.1072669,5,12.0334587097,13.0,1,POINT (121.1072669 14.63190797),,
3113,14.6319443,121.1066232,5,12.1299438477,13.0,1,POINT (121.1066232 14.6319443),,
3114,14.55523191,121.0412858,5,20.8986034393,8.0,1,POINT (121.0412858 14.55523191),2.0,3.0
3115,14.55553306,121.0413824,5,19.4948425293,8.0,1,POINT (121.0413824 14.55553306),2.0,3.0
3116,14.55652997,121.0419725,5,20.2085590363,8.0,1,POINT (121.0419725 14.55652997),2.0,3.0
3117,14.55687266,121.0419188,5,20.2085590363,8.0,1,POINT (121.0419188 14.55687266),2.0,3.0
3118,14.67932547,121.1222698,5,19.7118453979,17.0,1,POINT (121.1222698 14.67932547),,
3119,14.543708,121.001015,5,9.53528308868,7.0,1,POINT (121.001015 14.543708),0.0,1.0
3120,14.596681,121.039314,5,23.6403713226,8.0,1,POINT (121.039314 14.596681),2.0,3.0
3121,14.671283,121.05835,5,49.7622718811,11.0,1,POINT (121.05835 14.671283),2.0,3.0
3122,14.616895,121.10804,5,12.988363266,13.0,1,POINT (121.10804 14.616895),,
3123,14.616916,121.107651,5,12.988363266,13.0,1,POINT (121.107651 14.616916),,
3124,14.623617,121.112251,5,13.0017852783,14.0,1,POINT (121.112251 14.623617),,
3125,14.61859,121.09758,5,14.4274930954,12.0,1,POINT (121.09758 14.61859),2.0,3.0
3126,14.42005,121.05011,5,8.09706020355,10.0,1,POINT (121.05011 14.42005),1.0,2.0
3127,14.583931,121.105103,5,10.6970977783,12.0,1,POINT (121.105103 14.583931),2.0,3.0
3128,14.61743,121.108604,5,12.8412094116,14.0,1,POINT (121.108604 14.61743),,
3129,14.656129,121.093666,5,12.4298477173,13.0,1,POINT (121.093666 14.656129),2.0,3.0
3130,14.624822,121.111565,5,12.8727703094,14.0,1,POINT (121.111565 14.624822),,
3131,14.600237,121.115257,5,11.1554889679,13.0,1,POINT (121.115257 14.600237),,
3132,14.600445,121.115402,5,11.1554889679,13.0,1,POINT (121.115402 14.600445),,
3133,14.599791,121.121414,5,12.4287776947,14.0,1,POINT (121.121414 14.599791),,
3134,14.398312,121.036201,5,28.9889240265,10.0,1,POINT (121.036201 14.398312),,
3135,14.620275,121.1203,5,13.601395607,14.0,1,POINT (121.1203 14.620275),,
3136,14.630796,121.002609,5,17.6210517883,8.0,1,POINT (121.002609 14.630796),2.0,3.0
3137,14.601727,121.108665,5,11.365737915,13.0,1,POINT (121.108665 14.601727),,
3138,14.599801,121.121368,5,12.4287776947,14.0,1,POINT (121.121368 14.599801),,
3139,14.599864,121.115425,5,11.3653945923,13.0,1,POINT (121.115425 14.599864),,
3140,14.60466,121.108559,5,11.1123867035,13.0,1,POINT (121.108559 14.60466),,
3141,14.620773,121.121529,5,14.2806777954,14.0,1,POINT (121.121529 14.620773),,
3142,14.540967,121.018448,5,12.7976760864,7.0,1,POINT (121.018448 14.540967),2.0,3.0
3143,14.604131,121.108498,5,11.1123867035,13.0,1,POINT (121.108498 14.604131),,
3144,14.427459,121.047668,5,7.35611581802,9.0,1,POINT (121.047668 14.427459),2.0,3.0
3145,14.63514,121.121521,5,18.5837554932,15.0,1,POINT (121.121521 14.63514),,
3146,14.671875,121.045654,5,46.5102996826,10.0,1,POINT (121.045654 14.671875),2.0,3.0
3147,14.630033,121.081802,5,19.7773151398,11.0,1,POINT (121.081802 14.630033),2.0,3.0
3148,14.651064,121.095093,5,10.2348222733,13.0,1,POINT (121.095093 14.651064),2.0,3.0
3149,14.609976,121.106209,5,12.3492708206,13.0,1,POINT (121.106209 14.609976),,
3150,14.610765,121.106277,5,12.3042545319,13.0,1,POINT (121.106277 14.610765),,
3151,14.608875,121.107361,5,11.0609006882,13.0,1,POINT (121.107361 14.608875),,
3152,14.609862,121.104042,5,12.5591468811,13.0,1,POINT (121.104042 14.609862),,
3153,14.611139,121.104401,5,13.2319927216,13.0,1,POINT (121.104401 14.611139),,
3154,14.60846,121.106499,5,11.1627864838,13.0,1,POINT (121.106499 14.60846),,
3155,14.607858,121.105049,5,11.361738205,12.0,1,POINT (121.105049 14.607858),,
3156,14.606176,121.106331,5,11.0526475906,12.0,1,POINT (121.106331 14.606176),,
3157,14.621873,121.111755,5,12.8620767593,14.0,1,POINT (121.111755 14.621873),,
3158,14.589504,121.016899,5,8.35773944855,8.0,1,POINT (121.016899 14.589504),2.0,3.0
3159,14.589987,121.018524,5,9.05198764801,8.0,1,POINT (121.018524 14.589987),2.0,3.0
3160,14.594509,121.024513,5,10.0943145752,8.0,1,POINT (121.024513 14.594509),1.0,2.0
3161,14.591376,121.018852,5,9.54017543793,8.0,1,POINT (121.018852 14.591376),2.0,3.0
3162,14.590177,121.017097,5,8.78653621674,8.0,1,POINT (121.017097 14.590177),2.0,3.0
3163,14.58925,121.019455,5,9.11684513092,8.0,1,POINT (121.019455 14.58925),2.0,3.0
3164,14.622745,121.064468,5,50.0928688049,9.0,1,POINT (121.064468 14.622745),2.0,3.0
3165,14.601047,121.01651,5,13.0417795181,8.0,1,POINT (121.01651 14.601047),2.0,3.0
3166,14.601037,121.016541,5,13.0417795181,8.0,1,POINT (121.016541 14.601037),2.0,3.0
3167,14.664184,121.0467,5,46.8264198303,9.0,1,POINT (121.0467 14.664184),2.0,3.0
3168,14.612717,121.100494,5,13.6476478577,13.0,1,POINT (121.100494 14.612717),2.0,3.0
3169,14.621022,121.014145,5,9.97181987762,8.0,1,POINT (121.014145 14.621022),2.0,3.0
3170,14.634621,121.022728,5,28.2536773682,8.0,1,POINT (121.022728 14.634621),0.0,1.0
3171,14.629223,121.012367,5,15.5691423416,8.0,1,POINT (121.012367 14.629223),2.0,3.0
3172,14.622683,121.06459,5,50.0928688049,9.0,1,POINT (121.06459 14.622683),2.0,3.0
3173,14.622776,121.064476,5,50.0928688049,9.0,1,POINT (121.064476 14.622776),2.0,3.0
3174,14.622808,121.064507,5,50.0928688049,9.0,1,POINT (121.064507 14.622808),2.0,3.0
3175,14.624905,121.111313,5,12.84852314,14.0,1,POINT (121.111313 14.624905),,
3176,14.6257,121.111618,5,12.84852314,14.0,1,POINT (121.111618 14.6257),,
3177,14.602464,121.039955,5,24.8761901855,8.0,1,POINT (121.039955 14.602464),2.0,3.0
3178,14.602392,121.040016,5,24.8761901855,8.0,1,POINT (121.040016 14.602392),2.0,3.0
3179,14.629913,121.00605,5,15.4329319,8.0,1,POINT (121.00605 14.629913),2.0,3.0
3180,14.598898,121.118729,5,11.6556396484,14.0,1,POINT (121.118729 14.598898),,
3181,14.621666,121.100876,5,14.1923522949,13.0,1,POINT (121.100876 14.621666),2.0,3.0
3182,14.649439,121.101501,5,14.019077301,13.0,1,POINT (121.101501 14.649439),2.0,3.0
3183,14.650648,121.102882,5,15.4873771667,14.0,1,POINT (121.102882 14.650648),2.0,3.0
3184,14.605506,121.102524,5,11.3550434113,12.0,1,POINT (121.102524 14.605506),2.0,3.0
3185,14.63268,121.106598,5,12.2025251389,13.0,1,POINT (121.106598 14.63268),,
3186,14.582805,121.109932,5,10.2899312973,13.0,1,POINT (121.109932 14.582805),,
3187,14.679794,121.08091,5,79.8993911743,13.0,1,POINT (121.08091 14.679794),1.0,2.0
3188,14.598535,121.110237,5,11.4814252853,13.0,1,POINT (121.110237 14.598535),,
3189,14.598701,121.110275,5,11.4814252853,13.0,1,POINT (121.110275 14.598701),,
3190,14.616423,121.110489,5,12.1121282578,13.0,1,POINT (121.110489 14.616423),,
3191,14.606423,121.100594,5,11.5881547928,12.0,1,POINT (121.100594 14.606423),2.0,3.0
3192,14.606425,121.100601,5,11.5881547928,12.0,1,POINT (121.100601 14.606425),2.0,3.0
3193,14.604816,121.01844,5,12.9189729691,8.0,1,POINT (121.01844 14.604816),2.0,3.0
3194,14.597372,120.998611,5,7.70116615295,8.0,1,POINT (120.998611 14.597372),2.0,3.0
3195,14.68865811,121.1194227,5,15.0529050827,17.0,1,POINT (121.1194227 14.68865811),,
3196,14.75389997,121.071674,5,91.8337783813,16.0,1,POINT (121.071674 14.75389997),2.0,3.0
3197,14.65293863,121.0154388,5,19.4504680634,9.0,1,POINT (121.0154388 14.65293863),2.0,3.0
3198,14.61010184,120.9912882,5,7.4923043251,8.0,1,POINT (120.9912882 14.61010184),1.0,2.0
3199,14.35178653,121.0831753,5,7.67373228073,13.0,1,POINT (121.0831753 14.35178653),,
3200,14.59223902,121.1052338,5,10.7563638687,12.0,1,POINT (121.1052338 14.59223902),2.0,3.0
3201,14.61940399,121.1092798,5,12.8713731766,14.0,1,POINT (121.1092798 14.61940399),,
3202,14.58274898,121.109992,5,10.2899312973,13.0,1,POINT (121.109992 14.58274898),,
3203,14.77804596,120.9327513,5,6.34026575089,11.0,1,POINT (120.9327513 14.77804596),,
3204,14.55817575,121.0856751,5,6.39311218262,11.0,1,POINT (121.0856751 14.55817575),1.0,2.0
3205,14.78002418,120.9338916,5,6.86212444305,11.0,1,POINT (120.9338916 14.78002418),,
3206,14.71270841,120.9351347,5,2.32800078392,10.0,1,POINT (120.9351347 14.71270841),,
3207,14.70862759,120.937479,5,2.45640850067,10.0,1,POINT (120.937479 14.70862759),,
3208,14.70814505,120.9383695,5,2.56843996048,9.0,1,POINT (120.9383695 14.70814505),,
3209,14.72060261,120.928617,5,2.84808063507,10.0,1,POINT (120.928617 14.72060261),,
3210,14.73800879,120.9169494,5,2.4400703907,10.0,1,POINT (120.9169494 14.73800879),,
3211,14.63677639,121.019055,5,19.4434947968,8.0,1,POINT (121.019055 14.63677639),2.0,3.0
3212,14.63272302,121.0061274,5,15.4190883636,8.0,1,POINT (121.0061274 14.63272302),2.0,3.0
3213,14.59436244,121.0227089,5,9.99384117126,8.0,1,POINT (121.0227089 14.59436244),2.0,3.0
3214,14.57517704,121.09975,5,5.16008996964,11.0,1,POINT (121.09975 14.57517704),2.0,3.0
3215,14.61308158,121.0235725,5,13.1987438202,8.0,1,POINT (121.0235725 14.61308158),2.0,3.0
3216,14.60062563,121.1148545,5,11.1554889679,13.0,1,POINT (121.1148545 14.60062563),,
3217,14.57433597,121.1003186,5,5.20314216614,12.0,1,POINT (121.1003186 14.57433597),2.0,3.0
3218,14.57353644,121.1009087,5,5.1151509285,12.0,1,POINT (121.1009087 14.57353644),2.0,3.0
3219,14.5798496,121.0963382,5,6.66229724884,11.0,1,POINT (121.0963382 14.5798496),2.0,3.0
3220,14.57905008,121.096939,5,6.51034498215,11.0,1,POINT (121.096939 14.57905008),2.0,3.0
3221,14.57815711,121.0975827,5,6.46089506149,11.0,1,POINT (121.0975827 14.57815711),2.0,3.0
3222,14.57721221,121.0982586,5,6.09596252441,11.0,1,POINT (121.0982586 14.57721221),2.0,3.0
3223,14.57555864,121.0994254,5,5.59923791885,11.0,1,POINT (121.0994254 14.57555864),2.0,3.0
3224,14.67272196,120.9663557,5,7.43157958984,9.0,1,POINT (120.9663557 14.67272196),1.0,2.0
3225,14.67313971,120.9659426,5,7.07004785538,9.0,1,POINT (120.9659426 14.67313971),2.0,3.0
3226,14.62210834,120.9785114,5,6.3753528595,8.0,1,POINT (120.9785114 14.62210834),1.0,2.0
3227,14.61788569,121.0189055,5,12.2439155579,8.0,1,POINT (121.0189055 14.61788569),2.0,3.0
3228,14.58803666,121.1163888,5,11.5678949356,13.0,1,POINT (121.1163888 14.58803666),,
3229,14.63873864,121.1145423,5,16.1226425171,14.0,1,POINT (121.1145423 14.63873864),2.0,3.0
3230,14.59032095,121.0253964,5,10.5958127975,8.0,1,POINT (121.0253964 14.59032095),,
3231,14.61651273,120.9785436,5,7.10613393784,8.0,1,POINT (120.9785436 14.61651273),1.0,2.0
3232,14.69703178,120.9536219,5,4.6718788147,9.0,1,POINT (120.9536219 14.69703178),1.0,2.0
3233,14.69647074,121.1263879,5,19.4934806824,19.0,1,POINT (121.1263879 14.69647074),,
3234,14.59131121,121.1132057,5,11.1368846893,13.0,1,POINT (121.1132057 14.59131121),,
3235,14.5824647,121.0983064,5,7.40533018112,11.0,1,POINT (121.0983064 14.5824647),2.0,3.0
3236,14.5680226,121.1134061,5,5.44192647934,13.0,1,POINT (121.1134061 14.5680226),,
3237,14.60609453,121.0192542,5,12.2735376358,8.0,1,POINT (121.0192542 14.60609453),2.0,3.0
3238,14.60552351,121.0186453,5,12.7761926651,8.0,1,POINT (121.0186453 14.60552351),2.0,3.0
3239,14.60192608,121.0226579,5,12.0114536285,8.0,1,POINT (121.0226579 14.60192608),2.0,3.0
3240,14.60314599,121.0220437,5,12.1805477142,8.0,1,POINT (121.0220437 14.60314599),2.0,3.0
3241,14.59572516,121.0282128,5,10.0956392288,8.0,1,POINT (121.0282128 14.59572516),2.0,3.0
3242,14.60571344,121.0187521,5,12.464969635,8.0,1,POINT (121.0187521 14.60571344),2.0,3.0
3243,14.60493219,121.0193047,5,12.464969635,8.0,1,POINT (121.0193047 14.60493219),1.0,2.0
3244,14.60313606,121.0220352,5,12.1805477142,8.0,1,POINT (121.0220352 14.60313606),2.0,3.0
3245,14.60334371,121.0215229,5,12.1805477142,8.0,1,POINT (121.0215229 14.60334371),2.0,3.0
3246,14.60237037,121.0237759,5,12.7765331268,8.0,1,POINT (121.0237759 14.60237037),,
